,end_time,pkg_name,time_offset,start_time,floor,datauuid,update_time,create_time
0,2018-01-24 21:30:56.000,com.sec.android.app.shealth,UTC-0400,2018-01-24 21:29:51.000,2.0,00443274-6e30-97f9-3eb2-75d17f3e766f,2018-01-24 21:34:47.756,2018-01-24 21:34:47.720
1,2018-03-27 21:04:27.000,com.sec.android.app.shealth,UTC-0300,2018-03-27 21:04:01.000,1.0,00ed787d-a38b-8fcf-886d-b15a30e02ff6,2018-03-27 21:11:51.606,2018-03-27 21:11:51.606
2,2018-02-12 07:40:16.000,com.sec.android.app.shealth,UTC-0400,2018-02-12 07:38:21.000,2.0,012ee314-b5de-8ac7-0421-c634e858ebc4,2018-02-12 07:41:27.854,2018-02-12 07:41:27.802
3,2018-03-16 17:17:22.000,com.sec.android.app.shealth,UTC-0300,2018-03-16 17:17:05.000,1.0,016876d6-2d1f-5514-a6c2-12b580e0654c,2018-03-16 17:22:41.066,2018-03-16 17:22:41.044
4,2018-01-22 15:50:38.000,com.sec.android.app.shealth,UTC-0400,2018-01-22 15:50:22.000,1.0,01c24d32-905b-9f65-732e-3c13faf2a1c4,2018-01-22 15:52:59.388,2018-01-22 15:52:59.367
5,2018-04-04 20:54:48.000,com.sec.android.app.shealth,UTC-0300,2018-04-04 20:54:32.000,1.0,01c2a7dc-d5e6-be4e-c598-08f479647a97,2018-04-04 21:28:22.868,2018-04-04 21:28:22.867
6,2017-12-31 13:25:44.000,com.sec.android.app.shealth,UTC-0700,2017-12-31 13:25:15.000,2.0,03daea81-702c-4c3e-c656-9c3d2dc9f6b2,2017-12-31 13:39:54.710,2017-12-31 13:39:54.669
7,2018-04-19 18:34:08.000,com.sec.android.app.shealth,UTC-0300,2018-04-19 18:33:56.000,1.0,0455e0b9-66c7-c389-fefb-192e5f21f99a,2018-04-19 18:41:17.239,2018-04-19 18:41:17.213
8,2017-12-24 11:44:44.000,com.sec.android.app.shealth,UTC-0700,2017-12-24 11:44:06.000,2.0,04bb2565-d4da-ef2a-b42b-e1f54ab2137d,2017-12-24 11:48:39.758,2017-12-24 11:44:19.862
9,2018-02-16 08:24:33.000,com.sec.android.app.shealth,UTC-0400,2018-02-16 08:23:13.000,2.0,0514b64c-861c-d27d-5b8e-b061d71a8779,2018-02-16 08:27:46.204,2018-02-16 08:27:46.173
10,2018-03-21 07:56:42.000,com.sec.android.app.shealth,UTC-0300,2018-03-21 07:56:23.000,1.0,054db359-e80a-5f2e-1b28-35cb0d7775bb,2018-03-21 08:03:39.097,2018-03-21 08:03:39.073
11,2018-02-16 17:17:14.000,com.sec.android.app.shealth,UTC-0400,2018-02-16 17:15:53.000,3.0,055f93f1-6a45-2f9a-ea1f-3a72c9b8b625,2018-02-16 17:40:35.754,2018-02-16 17:40:35.669
12,2017-12-23 12:30:24.000,com.sec.android.app.shealth,UTC-0700,2017-12-23 12:28:59.000,2.0,0575fe9e-ed76-2619-a88c-e940f5c251f2,2017-12-23 12:30:38.326,2017-12-23 12:30:38.214
13,2018-01-19 16:39:42.000,com.sec.android.app.shealth,UTC-0400,2018-01-19 16:38:17.000,2.0,05bd67c6-ab37-bd6d-564b-b1b6ac15011c,2018-01-19 16:41:09.673,2018-01-19 16:41:09.649
14,2018-01-16 09:41:42.000,com.sec.android.app.shealth,UTC-0400,2018-01-16 09:41:24.000,1.0,069ba907-b3be-8dfd-2c35-31464698ed17,2018-01-16 09:53:26.256,2018-01-16 09:53:26.256
