,efficiency,has_sleep_data,com.samsung.health.sleep.datauuid,quality,com.samsung.health.sleep.custom,com.samsung.health.sleep.end_time,original_wake_up_time,com.samsung.health.sleep.start_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.update_time,original_bed_time,com.samsung.health.sleep.create_time,original_efficiency
0,92.66304,1.0,03f12ce0-9ade-5c74-9d57-686fd3966f2a,50003.0,,1520501400000,1.5205014e+12,1520479380000,UTC-0400,1520516398387,1.52047938e+12,1520501522181,92.66304
1,87.78802,1.0,0419de25-ff8a-e425-0864-7e83b7f5d991,,,1519565280000,,1519539300000,UTC-0400,1519565416332,,1519565416332,
2,90.026955,1.0,048b90e0-1e31-7875-337c-e9d8c24bea59,,,1527932940000,,1527910620000,UTC-0300,1527932972094,,1527932972094,
3,93.16239,1.0,058e45d4-2bda-fc5f-6545-c965c65fea43,,,1529749920000,,1529735940000,UTC-0300,1529750846337,,1529750846337,
4,93.75,1.0,059021fb-39a7-ab8c-e488-662743e11821,,,1515159660000,,1515128040000,UTC-0400,1515159899850,,1515159899850,
5,93.305435,1.0,060dfa33-9b74-abbf-a85b-e8e97a1d1277,,,1526120220000,,1526091600000,UTC-0300,1526120350209,,1526120350209,
6,90.97065,1.0,085dd73a-e700-94b8-bb53-5920a6493932,,,1528367040000,,1528340520000,UTC-0300,1528367490729,,1528367490729,
7,92.4,1.0,08b8cbd8-ef69-b0b3-8277-bd2fb80168d9,,,1514820540000,,1514805600000,UTC-0700,1514821205119,,1514821205119,
8,87.598946,1.0,095e5c43-db7b-eb38-9bc1-c8b37e55c9e8,50003.0,,1518167880000,1.51816788e+12,1518145200000,UTC-0400,1518171560353,1.5181452e+12,1518168011192,87.598946
9,92.10526,1.0,09c1e778-d39c-2bf5-32db-6b6cbc05aec7,,,1526381580000,,1526379360000,UTC-0300,1526382504262,,1526382504262,
10,91.75258,1.0,0a780ea3-d69b-3748-0c9b-b3dbe4283157,,,1529114100000,,1529108340000,UTC-0300,1529115012281,,1529115012281,
11,94.0919,1.0,0ab8be04-14f8-8180-aac2-686c4a1b90e0,,,1528800840000,,1528773420000,UTC-0300,1528800866973,,1528800866973,
12,94.318184,1.0,0c26562f-f823-d90d-c3b7-b6966a5fb13b,,,1526205660000,,1526184600000,UTC-0300,1526205768745,,1526205768745,
13,92.82609,1.0,0c5696ba-9983-8905-e351-39a24f862afb,,,1532686140000,,1532658600000,UTC-0300,1532687030300,,1532687030300,
14,89.87341,1.0,0d82d76e-63c8-4d9f-ca01-8295d961a5c6,,,1525821840000,,1525817040000,UTC-0300,1525821877974,,1525821877974,
15,88.957054,1.0,101a1466-b539-649c-875e-e71b812f50c0,,,1521287700000,,1521277980000,UTC-0300,1521287766875,,1521287766875,
16,89.6861,1.0,10797ac7-5c29-10e0-2d5d-21aa21512187,,,1530183720000,,1530156960000,UTC-0300,1530183768343,,1530183768343,
17,94.34889,1.0,10ca230a-fdf7-5493-6b18-06dc195d172f,,,1522404360000,,1522379940000,UTC-0300,1522404414964,,1522404414964,
18,91.86813,1.0,14b016fc-05a1-a849-64c7-a1289bca1586,,,1521883740000,,1521856500000,UTC-0300,1521883816435,,1521883816435,
19,89.86667,1.0,14c8276e-aed4-e8e7-993d-265cfe125353,,,1525067700000,,1525045200000,UTC-0300,1525067729591,,1525067729591,
20,93.90863,1.0,153f822a-070b-17d7-8f86-e2b79a58f0bb,,,1527847200000,,1527823620000,UTC-0300,1527847371671,,1527847371671,
21,94.57505,1.0,161a352b-f9fd-1a38-b8ae-6ef0fa498d4b,50004.0,,1519732920000,1.51973292e+12,1519699800000,UTC-0400,1519734729493,1.5196998e+12,1519733014825,94.57505
22,96.57258,1.0,16c97b07-7605-bb1b-22a1-b48d5ac17ef7,50005.0,,1520595720000,1.52059572e+12,1520565960000,UTC-0400,1520599290789,1.52056596e+12,1520595756968,96.57258
23,91.34948,1.0,18987595-2b8f-1c72-9966-312eabed5400,,,1523000280000,,1522983000000,UTC-0300,1523000497307,,1523000497307,
24,91.30435,1.0,19b915d4-de22-a8d8-f5a0-4b58d6431e28,,,1515333660000,,1515324060000,UTC-0400,1515334559770,,1515334559770,
25,92.78847,1.0,1d3912ad-ad42-1629-3f27-41ce8d682eaa,,,1522663800000,,1522638900000,UTC-0300,1522663944013,,1522663944013,
26,94.902916,1.0,1d4fb447-0895-51fb-9ce9-d087a50674c0,,,1513425180000,,1513400520000,UTC-0400,1513426084768,,1513426084768,
27,94.61538,1.0,1da2e867-1a60-5fd5-c073-867b9a90dd67,,,1524637680000,,1524622140000,UTC-0300,1524638604303,,1524638604303,
28,92.65873,1.0,1db10de5-840d-0b09-1d8a-9506fab6d442,,,1517485020000,,1517454840000,UTC-0400,1517485925260,,1517485925260,
29,94.43156,1.0,1dc84416-5956-fe30-8089-049c7f165927,,,1531390140000,,1531364340000,UTC-0300,1531390310772,,1531390310772,
30,92.227974,1.0,1e110907-d94e-761d-79bb-8c6a0abe25db,,,1527590160000,,1527578580000,UTC-0300,1527590326078,,1527590326078,
31,95.9799,1.0,1e75a548-8b60-1bce-c183-c0dfd44e798d,50003.0,,1519642380000,1.51964238e+12,1519618560000,UTC-0400,1519648616131,1.51961856e+12,1519642478160,95.9799
32,90.54054,1.0,1f826129-5d5b-eaa7-ca0b-84824dad8f92,,,1525171260000,,1525162440000,UTC-0300,1525171382661,,1525171382661,
33,92.77389,1.0,20d2364f-2699-c452-b222-e3975ced3045,,,1528712580000,,1528686120000,UTC-0300,1528712646942,,1528712646942,
34,93.34917,1.0,2130f080-7243-1d39-e5ae-e581f31b0503,,,1515581700000,,1515556500000,UTC-0400,1515581888509,,1515581888509,
35,92.26804,1.0,243c53eb-0e6e-e687-18ee-5019b819e25e,,,1529057100000,,1529033820000,UTC-0300,1529057121816,,1529057121816,
36,95.3168,1.0,245860ce-77c4-fea2-735d-63542f0cb955,,,1529143200000,,1529121480000,UTC-0300,1529144107692,,1529144107692,
37,90.909096,1.0,2505f1d0-e27f-c0a6-387d-62c219bd9481,,,1527660660000,,1527648780000,UTC-0300,1527660707998,,1527660707998,
38,93.952484,1.0,25751910-abd5-7b4a-297b-ba25d1d51610,,,1522232760000,,1522205040000,UTC-0300,1522232898981,,1522232898981,
39,89.655174,1.0,2595a88f-da6f-7d67-049b-70d2bc84d81e,,,1527761460000,,1527754500000,UTC-0300,1527761501122,,1527761501122,
40,92.07317,1.0,269583ec-cf98-b93b-4036-26a036c8a05f,,,1527329340000,,1527299820000,UTC-0300,1527329594840,,1527329594840,
41,92.821785,1.0,26e39a14-d426-66b4-f255-da267d0c4aad,,,1526899740000,,1526875560000,UTC-0300,1526899816102,,1526899816102,
42,89.43489,1.0,270ba1c8-2ac0-1b6d-e7fb-f98acd2f5570,,,1532428920000,,1532403900000,UTC-0300,1532428972983,,1532428972983,
43,93.174065,1.0,2722f3f3-63af-910f-f032-28729fb8151f,,,1513759680000,,1513742100000,UTC-0400,1513760243977,,1513760243977,
44,92.741936,1.0,27eb43a1-f5b3-310c-72f5-8cd2f4cef4ec,,,1530268200000,,1530245940000,UTC-0300,1530268473711,,1530268473711,
45,94.545456,1.0,28d482ea-9280-e6d6-4f83-13185c728a40,50004.0,,1517827320000,1.51782732e+12,1517800980000,UTC-0400,1517828778310,1.51780098e+12,1517828029697,94.545456
46,92.89474,1.0,295ca00d-f18e-ad03-4e4e-1e9a38ed5d6b,,,1531131780000,,1531108980000,UTC-0300,1531131835400,,1531131835400,
47,92.68293,1.0,2b49d301-16d1-dfe2-22cb-8efd3345614a,,,1531645800000,,1531626180000,UTC-0300,1531646722291,,1531646722291,
48,92.666664,1.0,2c2b1a44-b2a1-b3f9-7b79-870099fc7f1f,,,1521789180000,,1521771240000,UTC-0300,1521790083284,,1521790083284,
49,92.14438,1.0,2d2237e4-2d26-703f-50a1-20c90dc6d113,,,1528626240000,,1528597980000,UTC-0300,1528626277087,,1528626277087,
50,91.42857,1.0,2f2cd14c-79d2-ee29-8b86-fdef77e92678,,,1516011660000,,1515988620000,UTC-0400,1516011810491,,1516011810491,
51,92.056076,1.0,302848a0-834f-ff5b-c786-3d6c86ba9d3a,,,1515064980000,,1515039300000,UTC-0400,1515065034445,,1515065034445,
52,91.85022,1.0,305f040f-1fff-41bc-7275-c99ec6aa85a0,,,1531475040000,,1531447860000,UTC-0300,1531475529613,,1531475529613,
53,92.97753,1.0,32af108a-9f5c-ad4f-c534-7b9fe36121fa,,,1527754200000,,1527732900000,UTC-0300,1527754353438,,1527754353438,
54,91.72577,1.0,34a711df-4d2d-876e-ef75-2e59f6cc98a3,,,1526551860000,,1526526480000,UTC-0300,1526551888949,,1526551888949,
55,96.36363,1.0,353533e6-8753-a564-e67e-171c0386c61c,50003.0,,1520072340000,1.52007234e+12,1520049300000,UTC-0400,1520073627836,1.5200493e+12,1520072410002,96.36363
56,89.393936,1.0,35585f12-bab6-69cb-2eac-b682b1bb5c71,,,1524724260000,,1524712380000,UTC-0300,1524724310579,,1524724310579,
57,93.04933,1.0,35619088-ec69-e14e-8fa8-d0a210dd42e6,50003.0,,1520760960000,1.52076096e+12,1520734260000,UTC-0300,1520767292812,1.52073426e+12,1520761069613,93.04933
58,95.83333,1.0,3588a234-c3df-02c0-ce1f-bf2eb43db3f0,,,1531653780000,,1531648080000,UTC-0300,1531654700284,,1531654700284,
59,92.26667,1.0,36136966-45c9-5dac-2f04-5da33bc7e9c8,,,1532514240000,,1532491800000,UTC-0300,1532514367301,,1532514367301,
60,93.589745,1.0,36d26781-cb9b-2072-8bc5-3ffe4a5f5c02,,,1529180040000,,1529175420000,UTC-0300,1529180939305,,1529180939305,
61,93.071594,1.0,36e4cbbd-9630-c47f-bb1a-c3e645da0ca2,,,1520678520000,,1520652600000,UTC-0400,1520678881400,,1520678881400,
62,91.66667,1.0,36f694bb-3931-d96d-90b0-fca8d63b2865,50003.0,,1521106860000,1.52110686e+12,1521082440000,UTC-0300,1521136656613,1.52108244e+12,1521106926860,91.66667
63,92.24138,1.0,379f85d2-1ac2-9484-32af-d7cea69a71ba,,,1517217240000,,1517196420000,UTC-0400,1517218145301,,1517218145301,
64,91.97708,1.0,39a6c1c4-f83b-a2ed-1395-32c749609bc9,,,1529922420000,,1529901540000,UTC-0300,1529923128761,,1529923128761,
65,93.0131,1.0,39eef090-71cc-d55a-0c85-9e8de13af4e0,,,1523874000000,,1523846520000,UTC-0300,1523874042914,,1523874042914,
66,88.53333,1.0,3b463993-361f-47d6-5680-b68a1e6dc56a,,,1527499620000,,1527477180000,UTC-0300,1527500530321,,1527500530321,
67,95.62044,1.0,3b8e7b63-692d-ef8e-1ff8-b1fd48fce7a9,,,1523014260000,,1523006100000,UTC-0300,1523015164374,,1523015164374,
68,93.066666,1.0,3dac1176-93ff-ca17-4708-b4a77ce543a4,50003.0,,1516874100000,1.5168741e+12,1516851660000,UTC-0400,1516882719997,1.51685166e+12,1516874988313,93.066666
69,93.94572,1.0,3e03dec6-4722-38aa-eb47-65dc51c85f88,50003.0,,1518433320000,1.51843332e+12,1518404640000,UTC-0400,1518440660886,1.51840464e+12,1518434231299,93.94572
70,91.025635,1.0,3ff530d8-57e3-02ca-aae6-83db1ad2c0ff,,,1521974460000,,1521955800000,UTC-0300,1521974616674,,1521974616674,
71,95.06493,1.0,40315d4e-3ff7-ed18-022c-7a8223727d3f,,,1528193100000,,1528170060000,UTC-0300,1528193225945,,1528193225945,
72,96.385544,1.0,404a8019-49ad-71bd-1498-1a6f5944f850,,,1521690840000,,1521685920000,UTC-0300,1521691746294,,1521691746294,
73,60.000004,1.0,40a05fac-79e8-b953-9997-3427163986e6,,,1516623600000,,1516621560000,UTC-0400,1516624496405,,1516624496405,
74,93.220345,1.0,40c2fe23-27ac-80ef-5d06-80c323326244,,,1528453020000,,1528431840000,UTC-0300,1528453948352,,1528453948352,
75,89.47369,1.0,418cce87-c908-c64a-862d-8d171fcef95c,,,1530996300000,,1530990660000,UTC-0300,1530997201295,,1530997201295,
76,91.967865,1.0,41b5b291-31eb-68cd-80d5-0af3b6aaf1a1,,,1531996500000,,1531966680000,UTC-0300,1531997372311,,1531997372311,
77,95.631065,1.0,41f9b81f-5ad0-48a6-07a8-547a9f7edfd3,50004.0,,1516968780000,1.51696878e+12,1516931760000,UTC-0400,1516975351179,1.51693176e+12,1516969666292,95.631065
78,90.804596,1.0,42c4c901-e0e9-0ed3-8049-57a71ccf4304,,,1532777460000,,1532746200000,UTC-0300,1532778375350,,1532778375350,
79,93.99142,1.0,45422fc1-35a4-7645-ab48-a38c0d23bfa1,50004.0,,1518953400000,1.5189534e+12,1518925500000,UTC-0400,1518953765374,1.5189255e+12,1518953476175,93.99142
80,92.42762,1.0,4590cfb4-55b7-c57e-60b2-9ce972b43b3d,,,1521625320000,,1521598380000,UTC-0300,1521625344842,,1521625344842,
81,94.90446,1.0,45ee7a27-c4e8-6e8f-b4d1-b8689859f39f,,,1528960560000,,1528941780000,UTC-0300,1528961443518,,1528961443518,
82,92.20779,1.0,47355970-f833-cfa5-48ef-b6fd56e7ed4c,,,1530227580000,,1530223020000,UTC-0300,1530228490259,,1530228490259,
83,95.16807,1.0,47ea7442-78bb-4873-cd8e-8a417dcfe877,,,1521195300000,,1521166800000,UTC-0300,1521195457960,,1521195457960,
84,90.59139,1.0,493f82f7-4d8e-5e75-b838-28e82058a810,,,1527158280000,,1527136020000,UTC-0300,1527159181803,,1527159181803,
85,89.952156,1.0,4953be3c-9909-9b97-e999-87af8e367923,,,1519105200000,,1519092720000,UTC-0400,1519106095283,,1519106095283,
86,88.505745,1.0,4c7c65a7-2fb6-1d19-209f-f980940bed14,,,1532256660000,,1532225400000,UTC-0300,1532257557292,,1532257557292,
87,91.78082,1.0,4d54798b-87c9-3988-46ae-3ecbb5042e1d,,,1525863900000,,1525842000000,UTC-0300,1525863951310,,1525863951310,
88,88.6121,1.0,4d621f3b-3c67-f2ad-2bf0-cccc01d38b99,,,1514804400000,,1514787600000,UTC-0700,1514805309322,,1514805309322,
89,91.6,1.0,4d791210-f950-441d-846a-42616bb76543,,,1531823700000,,1531793760000,UTC-0300,1531824608318,,1531824608318,
90,91.013824,1.0,4d870843-b045-9f50-8149-c5a9eca32db3,,,1531737120000,,1531711080000,UTC-0300,1531737175393,,1531737175393,
91,70.27027,1.0,4e04d4a7-da06-3afc-7395-803db93ac1d9,,,1523002740000,,1523000580000,UTC-0300,1523003617272,,1523003617272,
92,93.08756,1.0,4e053f37-04a1-9947-069e-aa167f802681,,,1525080840000,,1525067880000,UTC-0300,1525080916222,,1525080916222,
93,93.333336,1.0,4e7ba199-a636-4a12-fbe5-6ca14f485f1a,,,1527067380000,,1527039480000,UTC-0300,1527067428896,,1527067428896,
94,92.72031,1.0,4ebed4af-fa4b-a94f-eeb0-c45ec42fc138,,,1525428480000,,1525412880000,UTC-0300,1525428611070,,1525428611070,
95,90.120964,1.0,4f224a77-e1f5-8feb-f1ee-64352ff2fb54,,,1514567880000,,1514538180000,UTC-0700,1514568784308,,1514568784308,
96,83.33333,1.0,4f3a6409-0ad8-c03e-a02f-0c74f9845c64,,,1515930600000,,1515928860000,UTC-0400,1515931075709,,1515931075709,
97,93.70786,1.0,5112e0e4-3ff5-4620-a488-9ef126270895,,,1516186020000,,1516159380000,UTC-0400,1516186195702,,1516186195702,
98,92.244896,1.0,54d4e23a-6353-52a8-553b-201b9a58efc1,,,1525686780000,,1525657380000,UTC-0300,1525686803764,,1525686803764,
99,88.52814,1.0,554eb406-b3fd-38bc-98c6-b55fa180acee,,,1530700620000,,1530672960000,UTC-0300,1530701490285,,1530701490285,
100,63.076927,1.0,556636eb-957a-a1ea-6da8-c1f155805b82,,,1529292840000,,1529289000000,UTC-0300,1529293716294,,1529293716294,
101,95.13184,1.0,583a264f-6ce3-a419-813d-a92dfe12ad0e,,,1520934660000,,1520905140000,UTC-0300,1520934726238,,1520934726238,
102,93.269226,1.0,5935ece5-0c3b-4e55-5e14-ab72f2f5021f,,,1524816360000,,1524797700000,UTC-0300,1524816483130,,1524816483130,
