create_time,longest_idle_time,score,extra_data,goal,calorie,run_time,deviceuuid,update_time,longest_active_time,day_time,walk_time,pkg_name,active_time,distance,others_time,step_count,datauuid
2018-01-14 05:00:56.527,15780000,0,00179515-d385-4f61-81a7-2ddd68ac80b2.extra_data.json,-1,927.1578,76845,jQfnryI8/B,2018-01-15 12:48:58.842,2400000,1515888000000,8814507,com.sec.android.app.shealth,11291352,9196.503,2400000,12889,00179515-d385-4f61-81a7-2ddd68ac80b2
2018-01-03 05:03:32.135,22140000,0,003f0597-41ad-4f7f-bd02-6683076a1535.extra_data.json,-1,971.6039999999999,43840,jQfnryI8/B,2018-01-04 11:41:12.193,5363575,1514937600000,5720581,com.sec.android.app.shealth,11982148,6962.8965,6217727,13135,003f0597-41ad-4f7f-bd02-6683076a1535
2016-09-02 07:00:51.323,24660000,76,004dfa57-ff07-44f3-8d54-d3b9c09d41c5.extra_data.json,60,207.74993999999998,77742,jQfnryI8/B,2016-09-03 06:20:16.720,240000,1472774400000,2726451,com.sec.android.app.shealth,2804193,3679.9102,0,4407,004dfa57-ff07-44f3-8d54-d3b9c09d41c5
2016-07-24 07:03:17.688,36420000,83,00d6b2b2-0211-4a80-a213-a0c2ef981715.extra_data.json,60,240.44005,55497,jQfnryI8/B,2016-07-25 05:48:14.487,540000,1469318400000,3051950,com.sec.android.app.shealth,3107447,4135.3003,0,5200,00d6b2b2-0211-4a80-a213-a0c2ef981715
2017-10-22 04:15:01.831,30660000,0,00d6cc12-a5c4-41c7-aa76-d81b38d49fb2.extra_data.json,-1,167.93997,6451,jQfnryI8/B,2017-10-23 01:35:00.001,600000,1508630400000,2480173,com.sec.android.app.shealth,2486624,3124.7898,0,4015,00d6cc12-a5c4-41c7-aa76-d81b38d49fb2
2017-12-12 05:00:07.074,30120000,0,00e0e45a-5386-4e6a-a1d9-a76af1408011.extra_data.json,-1,58.249995999999996,7600,jQfnryI8/B,2017-12-13 13:55:50.092,180000,1513036800000,621554,com.sec.android.app.shealth,629154,685.08997,0,991,00e0e45a-5386-4e6a-a1d9-a76af1408011
2018-01-23 05:10:46.623,22980000,0,010e5909-20a4-492f-93c8-b2c5963b55f7.extra_data.json,-1,692.5391,38335,jQfnryI8/B,2018-01-24 22:13:46.297,2846944,1516665600000,2768483,com.sec.android.app.shealth,7453762,3216.2876,4646944,5107,010e5909-20a4-492f-93c8-b2c5963b55f7
2017-01-02 08:00:23.925,32640000,0,0126bba5-f7f3-4ccb-9c35-06d71ac872f8.extra_data.json,-1,46.65999,1593,jQfnryI8/B,2017-01-03 04:35:01.485,120000,1483315200000,696059,com.sec.android.app.shealth,697652,794.39996,0,1048,0126bba5-f7f3-4ccb-9c35-06d71ac872f8
2016-10-10 07:00:22.789,45240000,31,015f3c08-d536-4066-a47f-06789182c08d.extra_data.json,60,80.07,17200,jQfnryI8/B,2016-10-11 03:53:56.806,60000,1476057600000,1141844,com.sec.android.app.shealth,1159044,1439.4999,0,1789,015f3c08-d536-4066-a47f-06789182c08d
2016-09-24 07:00:36.520,37020000,0,02584047-a1d5-4047-acef-722d91b8c1df.extra_data.json,-1,829.0869,179487,jQfnryI8/B,2016-09-25 06:41:41.492,1740000,1474675200000,9820411,com.sec.android.app.shealth,10996574,12702.192,996676,18594,02584047-a1d5-4047-acef-722d91b8c1df
2017-06-20 04:00:00.949,80940000,0,034005dd-43a1-432a-8f44-ac2e53e76c34.extra_data.json,-1,0.62000006,0,jQfnryI8/B,2017-06-21 02:35:01.241,10005,1497916800000,10005,com.sec.android.app.shealth,10005,11.679999,0,15,034005dd-43a1-432a-8f44-ac2e53e76c34
2016-06-25 14:40:09.488,26760000,0,03935068-2c52-479f-aafd-6af09173b620.extra_data.json,-1,686.3998,63201,jQfnryI8/B,2016-06-25 14:40:09.488,1800000,1465084800000,13085839,com.sec.android.app.shealth,13149040,16104.63,0,22022,03935068-2c52-479f-aafd-6af09173b620
2016-09-03 07:00:39.303,28740000,0,0416b267-87ce-4807-b39c-4b772e579685.extra_data.json,-1,58.45999499999999,28800,jQfnryI8/B,2016-09-04 05:35:17.457,42420,1472860800000,742371,com.sec.android.app.shealth,771171,1004.44995,0,1185,0416b267-87ce-4807-b39c-4b772e579685
2018-04-28 04:00:42.119,10260000,0,04bc69a5-0962-44c0-acc9-ea9a54bc380b.extra_data.json,-1,481.86008,32658,jQfnryI8/B,2018-04-30 11:44:26.394,1800000,1524873600000,3401549,com.sec.android.app.shealth,5234207,4017.008,1800000,5330,04bc69a5-0962-44c0-acc9-ea9a54bc380b
2016-11-27 08:00:02.178,27000000,0,04f1859f-ed48-42fe-b921-b64245afa08d.extra_data.json,-1,127.57998,28175,jQfnryI8/B,2016-11-28 02:30:02.475,360000,1480204800000,1779259,com.sec.android.app.shealth,1807434,2352.67,0,2954,04f1859f-ed48-42fe-b921-b64245afa08d
2018-01-06 05:00:01.668,14820000,0,0552bfd9-64f5-4eb3-8355-c0ddee270f92.extra_data.json,-1,854.3666400000001,89085,jQfnryI8/B,2018-01-07 14:34:08.600,1734242,1515196800000,8797151,com.sec.android.app.shealth,10086236,10750.026000000002,1200000,15964,0552bfd9-64f5-4eb3-8355-c0ddee270f92
